Plant.ID;Treatment;DAS;Field.Capacity
1745AJ009;D;1;80.88790679
1745AJ009;D;5;76.06669345
1745AJ009;D;7;79.68260346
1745AJ009;D;8;80.48613901
1745AJ009;D;10;71.64724789
1745AJ009;D;11;72.04901567
1745AJ009;D;12;72.04901567
1745AJ009;D;13;72.04901567
1745AJ009;D;14;72.04901567
1745AJ009;D;15;72.04901567
1745AJ009;D;16;57.18360787
1745AJ009;D;17;44.72880675
1745AJ009;D;18;38.70229008
1745AJ009;D;19;32.6757734
1745AJ009;D;20;27.85456006
1745AJ009;D;21;22.22981117
1745AJ009;D;22;18.61390117
1745AJ009;D;23;14.99799116
1745AJ009;D;24;11.78384894
1745AJ009;D;25;8.56970671
1745AJ009;D;26;6.15910004
1745AJ009;D;27;3.346725593
1745AJ009;D;28;1.337886701
1745AJ009;D;29;-1.072719968
1745AJ013;WW;1;84.10204902
1745AJ013;WW;5;83.29851346
1745AJ013;WW;7;83.29851346
1745AJ013;WW;8;83.29851346
1745AJ013;WW;10;75.26315789
1745AJ013;WW;11;75.66492567
1745AJ013;WW;12;75.26315789
1745AJ013;WW;13;75.66492567
1745AJ013;WW;14;75.66492567
1745AJ013;WW;15;75.26315789
1745AJ015;D;1;82.89674568
1745AJ015;D;5;81.28967457
1745AJ015;D;7;82.09321012
1745AJ015;D;8;82.4949779
1745AJ015;D;10;73.65608678
1745AJ015;D;11;74.05785456
1745AJ015;D;12;74.05785456
1745AJ015;D;13;74.45962234
1745AJ015;D;14;74.05785456
1745AJ015;D;15;74.05785456
1745AJ015;D;16;60.3977501
1745AJ015;D;17;48.74648453
1745AJ015;D;18;41.11289675
1745AJ015;D;19;34.68461229
1745AJ015;D;20;29.0598634
1745AJ017;D;1;96.95861792
1745AJ017;D;5;92.94094014
1745AJ017;D;7;95.75331458
1745AJ017;D;8;96.55685014
1745AJ017;D;10;88.1197268
1745AJ017;D;11;88.1197268
1745AJ017;D;12;88.1197268
