Plant.ID,Treatment,Harvest,Day,Rep,Mothertable.ID
1745AJ111,WW,1,d15,rep1,H1d15_WW_rep1
1745AJ220,WW,1,d15,rep1,H1d15_WW_rep1
1745AJ348,WW,1,d15,rep2,H1d15_WW_rep2
1745AJ098,WW,1,d15,rep2,H1d15_WW_rep2
1745AJ161,WW,1,d15,rep3,H1d15_WW_rep3
1745AJ354,WW,1,d15,rep3,H1d15_WW_rep3
1745AJ058,D,2,d17,rep1,H2d17_D_rep1
1745AJ200,D,2,d17,rep1,H2d17_D_rep1
1745AJ084,D,2,d17,rep2,H2d17_D_rep2
1745AJ282,D,2,d17,rep2,H2d17_D_rep2
1745AJ101,D,2,d17,rep3,H2d17_D_rep3
1745AJ343,D,2,d17,rep3,H2d17_D_rep3
1745AJ094,D,3,d20,rep1,H3d20_D_rep1
1745AJ232,D,3,d20,rep1,H3d20_D_rep1
1745AJ181,D,3,d20,rep2,H3d20_D_rep2
1745AJ367,D,3,d20,rep2,H3d20_D_rep2
1745AJ015,D,3,d20,rep3,H3d20_D_rep3
1745AJ246,D,3,d20,rep3,H3d20_D_rep3
1745AJ082,WW,4,d22,rep1,H4d22_WW_rep1
1745AJ201,WW,4,d22,rep1,H4d22_WW_rep1
1745AJ042,WW,4,d22,rep2,H4d22_WW_rep2
1745AJ315,WW,4,d22,rep2,H4d22_WW_rep2
1745AJ178,WW,4,d22,rep3,H4d22_WW_rep3
1745AJ365,WW,4,d22,rep3,H4d22_WW_rep3
1745AJ034,D,4,d22,rep1,H4d22_D_rep1
1745AJ292,D,4,d22,rep1,H4d22_D_rep1
1745AJ162,D,4,d22,rep2,H4d22_D_rep2
1745AJ248,D,4,d22,rep2,H4d22_D_rep2
1745AJ104,D,4,d22,rep3,H4d22_D_rep3
1745AJ363,D,4,d22,rep3,H4d22_D_rep3
1745AJ168,D,5,d24,rep1,H5d24_D_rep1
1745AJ284,D,5,d24,rep1,H5d24_D_rep1
1745AJ113,D,5,d24,rep2,H5d24_D_rep2
1745AJ351,D,5,d24,rep2,H5d24_D_rep2
1745AJ131,D,5,d24,rep3,H5d24_D_rep3
1745AJ245,D,5,d24,rep3,H5d24_D_rep3
1745AJ081,D,6,d27,rep1,H6d27_D_rep1
1745AJ293,D,6,d27,rep1,H6d27_D_rep1
1745AJ105,D,6,d27,rep2,H6d27_D_rep2
1745AJ224,D,6,d27,rep2,H6d27_D_rep2
1745AJ167,D,6,d27,rep3,H6d27_D_rep3
1745AJ353,D,6,d27,rep3,H6d27_D_rep3
1745AJ107,D,7,d29,rep1,H7d29_D_rep1
1745AJ345,D,7,d29,rep1,H7d29_D_rep1
1745AJ237,D,7,d29,rep2,H7d29_D_rep2
1745AJ291,D,7,d29,rep2,H7d29_D_rep2
1745AJ134,D,7,d29,rep3,H7d29_D_rep3
1745AJ374,D,7,d29,rep3,H7d29_D_rep3
1745AJ147,WW,7,d29,rep1,H7d29_WW_rep1
1745AJ302,WW,7,d29,rep1,H7d29_WW_rep1
1745AJ138,WW,7,d29,rep2,H7d29_WW_rep2
1745AJ265,WW,7,d29,rep2,H7d29_WW_rep2
1745AJ116,WW,7,d29,rep3,H7d29_WW_rep3
1745AJ372,WW,7,d29,rep3,H7d29_WW_rep3
1745AJ029,D,8,d31,rep1,H8d31_D_rep1
1745AJ304,D,8,d31,rep1,H8d31_D_rep1
1745AJ074,D,8,d31,rep2,H8d31_D_rep2
1745AJ210,D,8,d31,rep2,H8d31_D_rep2
1745AJ179,D,8,d31,rep3,H8d31_D_rep3
1745AJ358,D,8,d31,rep3,H8d31_D_rep3
1745AJ017,D,9,d34,rep1,H9d34_D_rep1
1745AJ283,D,9,d34,rep1,H9d34_D_rep1
1745AJ183,D,9,d34,rep2,H9d34_D_rep2
1745AJ289,D,9,d34,rep2,H9d34_D_rep2
1745AJ110,D,9,d34,rep3,H9d34_D_rep3
1745AJ300,D,9,d34,rep3,H9d34_D_rep3
1745AJ133,D,10,d36,rep1,H10d36_D_rep1
1745AJ197,D,10,d36,rep1,H10d36_D_rep1
1745AJ079,D,10,d36,rep2,H10d36_D_rep2
1745AJ267,D,10,d36,rep2,H10d36_D_rep2
1745AJ159,D,10,d36,rep3,H10d36_D_rep3
1745AJ344,D,10,d36,rep3,H10d36_D_rep3
1745AJ064,WW,10,d36,rep1,H10d36_WW_rep1
1745AJ211,WW,10,d36,rep1,H10d36_WW_rep1
1745AJ090,WW,10,d36,rep2,H10d36_WW_rep2
1745AJ244,WW,10,d36,rep2,H10d36_WW_rep2
1745AJ130,WW,10,d36,rep3,H10d36_WW_rep3
1745AJ324,WW,10,d36,rep3,H10d36_WW_rep3
