"up.or.downregulated","subnetwork","GO.ID","Term","Annotated","Significant","Expected","classicFisher","sig_ids"
"upregulated","whole network","GO:0050896","response to stimulus",5696,169,109.24,8.3e-11,"AT1G08720;AT1G12010;AT1G12280;AT1G12480;AT1G15890;AT1G16890;AT1G20160;AT1G20630;AT1G21250;AT1G22500;AT1G22790;AT1G23080;AT1G35310;AT1G49050;AT1G54160;AT1G63350;AT1G64360;AT1G64710;AT1G67030;AT1G69440;AT1G69730;AT1G70660;AT1G70690;AT1G71040;AT1G74660;AT1G77920;AT1G79670;AT1G80130;AT1G80360;AT1G80420;AT2G01650;AT2G04795;AT2G14560;AT2G17520;AT2G20570;AT2G25080;AT2G26660;AT2G29120;AT2G30950;AT2G32520;AT2G33150;AT2G33550;AT2G33590;AT2G33770;AT2G34420;AT2G40030;AT2G40300;AT2G40670;AT2G41430;AT2G41900;AT2G43350;AT2G46440;AT2G46590;AT2G46790;AT2G47880;AT3G01470;AT3G02150;AT3G05200;AT3G05630;AT3G07720;AT3G08860;AT3G09600;AT3G11670;AT3G12040;AT3G12260;AT3G12360;AT3G14230;AT3G15510;AT3G16640;AT3G16770;AT3G19100;AT3G19290;AT3G21560;AT3G22460;AT3G25020;AT3G29035;AT3G44400;AT3G44630;AT3G45860;AT3G47600;AT3G48170;AT3G49580;AT3G51430;AT3G52430;AT3G55830;AT3G56240;AT3G58070;AT3G61060;AT3G61470;AT3G61900;AT4G00050;AT4G02420;AT4G08920;AT4G10380;AT4G11360;AT4G13510;AT4G13810;AT4G13820;AT4G14400;AT4G15760;AT4G16670;AT4G17250;AT4G17880;AT4G19840;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G24120;AT4G27450;AT4G29050;AT4G30960;AT4G31550;AT4G32160;AT4G32940;AT4G34100;AT4G34600;AT4G35770;AT4G36780;AT4G36830;AT4G37930;AT4G37980;AT4G38580;AT4G39100;AT4G40010;AT5G01600;AT5G01820;AT5G05270;AT5G08335;AT5G10600;AT5G10930;AT5G12170;AT5G12200;AT5G13290;AT5G13930;AT5G14940;AT5G16530;AT5G18370;AT5G22270;AT5G22290;AT5G24655;AT5G26751;AT5G38990;AT5G39020;AT5G43470;AT5G43560;AT5G45380;AT5G46180;AT5G46490;AT5G46830;AT5G47370;AT5G48500;AT5G50720;AT5G51890;AT5G54060;AT5G54940;AT5G54960;AT5G58580;AT5G58787;AT5G58940;AT5G59890;AT5G60600;AT5G61420;AT5G61850;AT5G64770;AT5G65140;AT5G65210;AT5G66190;AT5G66400"
"upregulated","whole network","GO:0006950","response to stress",3208,105,61.52,1.2e-08,"AT1G08720;AT1G12280;AT1G12480;AT1G15890;AT1G16890;AT1G20160;AT1G20630;AT1G21250;AT1G35310;AT1G49050;AT1G54160;AT1G63350;AT1G64360;AT1G69440;AT1G70660;AT1G70690;AT1G71040;AT1G77920;AT1G80130;AT1G80420;AT2G01650;AT2G04795;AT2G14560;AT2G17520;AT2G25080;AT2G26660;AT2G33150;AT2G33590;AT2G33770;AT2G40030;AT2G40300;AT2G41430;AT2G43350;AT2G46440;AT2G46590;AT2G47880;AT3G01470;AT3G02150;AT3G05630;AT3G12040;AT3G12260;AT3G12360;AT3G14230;AT3G16640;AT3G16770;AT3G19290;AT3G25020;AT3G29035;AT3G44630;AT3G45860;AT3G47600;AT3G48170;AT3G49580;AT3G52430;AT3G56240;AT3G61060;AT3G61470;AT4G02420;AT4G08920;AT4G14400;AT4G17250;AT4G17880;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G27450;AT4G29050;AT4G30960;AT4G31550;AT4G32940;AT4G34100;AT4G35770;AT4G37930;AT4G37980;AT4G38580;AT4G40010;AT5G01600;AT5G01820;AT5G10600;AT5G12170;AT5G13290;AT5G13930;AT5G18370;AT5G22270;AT5G22290;AT5G26751;AT5G43470;AT5G43560;AT5G45380;AT5G46180;AT5G46830;AT5G50720;AT5G51890;AT5G54940;AT5G54960;AT5G58580;AT5G58787;AT5G58940;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190;AT5G66400"
"upregulated","whole network","GO:0006952","defense response",1020,46,19.56,7.1e-08,"AT1G08720;AT1G12280;AT1G15890;AT1G20160;AT1G21250;AT1G35310;AT1G49050;AT1G63350;AT1G69440;AT1G70690;AT1G77920;AT2G01650;AT2G14560;AT2G40030;AT2G46440;AT3G02150;AT3G16640;AT3G25020;AT3G44630;AT3G45860;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G17880;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37930;AT4G37980;AT5G10600;AT5G12170;AT5G13290;AT5G18370;AT5G22290;AT5G43470;AT5G43560;AT5G46180;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190"
"upregulated","whole network","GO:1901700","response to oxygen-containing compound",1601,62,30.7,8.8e-08,"AT1G08720;AT1G12010;AT1G12480;AT1G20160;AT1G20630;AT1G21250;AT1G22500;AT1G54160;AT1G64710;AT1G67030;AT1G74660;AT2G14560;AT2G17520;AT2G33150;AT2G33590;AT2G40300;AT2G41430;AT2G43350;AT2G46590;AT3G05200;AT3G11670;AT3G15510;AT3G16640;AT3G16770;AT3G19100;AT3G19290;AT3G29035;AT3G45860;AT3G47600;AT3G48170;AT3G51430;AT3G52430;AT3G55830;AT3G56240;AT3G58070;AT4G08920;AT4G11360;AT4G13510;AT4G14400;AT4G17880;AT4G23130;AT4G23270;AT4G30960;AT4G31550;AT4G32940;AT4G34100;AT4G35770;AT4G36780;AT4G36830;AT4G37930;AT5G01600;AT5G01820;AT5G08335;AT5G13930;AT5G43470;AT5G50720;AT5G54060;AT5G58787;AT5G58940;AT5G60600;AT5G61850;AT5G66400"
"upregulated","whole network","GO:0043207","response to external biotic stimulus",1064,47,20.41,9.4e-08,"AT1G08720;AT1G20160;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G77920;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT2G46440;AT3G16640;AT3G16770;AT3G25020;AT3G45860;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G19840;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37930;AT4G37980;AT5G01600;AT5G10600;AT5G12170;AT5G13290;AT5G14940;AT5G22290;AT5G43470;AT5G43560;AT5G46180;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190"
"upregulated","whole network","GO:0051707","response to other organism",1064,47,20.41,9.4e-08,"AT1G08720;AT1G20160;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G77920;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT2G46440;AT3G16640;AT3G16770;AT3G25020;AT3G45860;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G19840;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37930;AT4G37980;AT5G01600;AT5G10600;AT5G12170;AT5G13290;AT5G14940;AT5G22290;AT5G43470;AT5G43560;AT5G46180;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190"
"upregulated","whole network","GO:0009607","response to biotic stimulus",1066,47,20.44,9.9e-08,"AT1G08720;AT1G20160;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G77920;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT2G46440;AT3G16640;AT3G16770;AT3G25020;AT3G45860;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G19840;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37930;AT4G37980;AT5G01600;AT5G10600;AT5G12170;AT5G13290;AT5G14940;AT5G22290;AT5G43470;AT5G43560;AT5G46180;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190"
"upregulated","whole network","GO:0044419","biological process involved in interspec...",1076,47,20.64,1.3e-07,"AT1G08720;AT1G20160;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G77920;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT2G46440;AT3G16640;AT3G16770;AT3G25020;AT3G45860;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G19840;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37930;AT4G37980;AT5G01600;AT5G10600;AT5G12170;AT5G13290;AT5G14940;AT5G22290;AT5G43470;AT5G43560;AT5G46180;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190"
"upregulated","whole network","GO:0042221","response to chemical",2731,90,52.38,1.4e-07,"AT1G08720;AT1G12010;AT1G12480;AT1G16890;AT1G20160;AT1G20630;AT1G21250;AT1G22500;AT1G23080;AT1G54160;AT1G64710;AT1G67030;AT1G74660;AT2G14560;AT2G17520;AT2G26660;AT2G32520;AT2G33150;AT2G33590;AT2G40300;AT2G40670;AT2G41430;AT2G41900;AT2G43350;AT2G46590;AT3G05200;AT3G05630;AT3G07720;AT3G11670;AT3G15510;AT3G16640;AT3G16770;AT3G19100;AT3G19290;AT3G22460;AT3G29035;AT3G45860;AT3G47600;AT3G48170;AT3G49580;AT3G51430;AT3G52430;AT3G55830;AT3G56240;AT3G58070;AT3G61900;AT4G08920;AT4G10380;AT4G11360;AT4G13510;AT4G14400;AT4G17880;AT4G23130;AT4G23270;AT4G23670;AT4G24120;AT4G27450;AT4G30960;AT4G31550;AT4G32940;AT4G34100;AT4G34600;AT4G35770;AT4G36780;AT4G36830;AT4G37930;AT5G01600;AT5G01820;AT5G08335;AT5G12170;AT5G13930;AT5G16530;AT5G22270;AT5G24655;AT5G38990;AT5G39020;AT5G43470;AT5G47370;AT5G50720;AT5G51890;AT5G54060;AT5G54940;AT5G54960;AT5G58580;AT5G58787;AT5G58940;AT5G60600;AT5G61850;AT5G65140;AT5G66400"
"upregulated","whole network","GO:0098542","defense response to other organism",809,37,15.52,1.1e-06,"AT1G08720;AT1G20160;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G77920;AT2G01650;AT2G14560;AT2G40030;AT3G16640;AT3G25020;AT3G45860;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G23310;AT4G23670;AT4G29050;AT4G31550;AT4G37930;AT4G37980;AT5G10600;AT5G12170;AT5G13290;AT5G22290;AT5G43470;AT5G43560;AT5G46180;AT5G59890;AT5G60600;AT5G61420;AT5G65210;AT5G66190"
