i,Value,Prediction
1,142251.5,121443.20735
2,130413.5,163411.720133333
3,113038.5,141203.030133333
4,218635,133389.886833333
5,182779,159135.658666667
6,197986.5,159068.259966667
7,11163.5,20595.4451333333
8,18201.5,23289.14195
9,20312,23704.5806
10,16182.5,20138.55175
11,16922.5,20104.1351166667
12,16668,24934.0497666667
13,22866,26021.3983166667
14,29250.5,27706.0706
15,24943,30204.8567
16,30839.5,39138.1450833333
17,53068,52493.6619666667
18,28356,32947.4645666667
19,44924,74263.8130833334
20,72766,61132.86425
21,58554,70876.2258
22,86172.5,85388.3118166667
23,79818.5,61011.6486833334
24,85925,59694.5768833334
25,47459.5,54729.4270000001
26,59156.5,56342.0582333334
27,57484,54367.3315166667
28,72832.5,97465.3275666668
29,85090.5,114822.66505
30,104687.5,102234.474866667
