i,Value,Prediction
1,871.5,1396.16121666667
2,1281.5,1333.55106666667
3,1262,1377.44256666667
4,1161.5,1290.93803333333
5,1191,1469.4064
6,1229.5,1412.75966666667
7,1579.5,1484.14734166667
8,1833,2215.18039166667
9,2066,1861.42446666667
10,1725,2103.57303333333
11,2366,2252.97499166667
12,1612,1642.31210833333
13,2225,2804.28859166667
14,2987.5,3150.443225
15,2610,3165.399725
16,3568.5,2732.95545833333
17,3187,3327.15411666667
18,3708.5,2892.50086666666
19,1917,2474.50155833333
20,2698.5,2411.32368333333
21,2410,2867.261525
22,4134,4816.37639166667
23,5717.5,4784.24589166667
24,7182.5,4648.04660833333
