i,Value,Prediction
1,495024.75,394827.8692
2,613989.5,581753.365366667
3,352002.5,539436.510875
4,874372.75,566628.702966667
5,718057.25,620252.680941666
6,748161.75,602255.321133333
7,20495.75,45711.3648333333
8,36139.75,48759.8166166666
9,34481.25,50886.2697583333
10,31192.75,44523.1400916666
11,31922.25,39511.24805
12,32523.75,50498.4204
13,63941,55917.2105416667
14,73100.75,65989.2814583333
15,71896.25,64760.9653916667
16,59194.75,93965.4414083332
17,93559.75,139046.64285
18,74658.75,70495.6023666667
19,90680.25,190281.96925
20,131362,144019.663733333
21,102187,207473.438483333
22,198568.75,200245.942875
23,161960,149663.501691667
24,170823,111296.554508333
25,71418.25,130308.984725
26,136024.5,111831.801866667
27,94904.75,116580.6802
28,179694.75,247263.745008333
29,333179.5,488516.402925
30,260085.25,457981.339466667
