i,Value,Prediction
1,2695.1699485,2420.90576760808
2,3011.8905525,2712.25199080427
3,2190.001795,2502.44868963009
4,3285.9216535,2725.50229168184
5,3243.551847,2844.68324592187
6,3262.1869785,2833.71598874312
7,512.6458122,742.759565307006
8,686.6037209,764.402580803997
9,678.75115705,805.312520697086
10,611.831575,705.275541183878
11,622.35594055,708.557097361708
12,684.08372785,759.23060932715
13,1124.1338307,765.417720328561
14,792.49505935,954.90367676313
15,862.07312675,1049.81054030459
16,814.10489235,1089.50081980993
17,1074.515263,1211.66195506187
18,1083.43380505,959.710250235411
19,1190.2324325,1389.09581721562
20,1315.9754035,1207.31349325943
21,1110.83181155,1445.96386284883
22,1508.7915385,1494.21585453205
23,1432.3940705,1162.01690813611
24,1455.644187,1257.14384425136
25,947.5787747,1103.40965730058
26,1011.2765315,1101.21881295237
27,1126.73561815,1034.72898512087
28,1510.69868205,2104.26478180689
29,2221.468118,2422.30491400466
30,2460.3804505,2303.83028718213
