i,Value,Prediction
1,164.8769266,231.335513853674
2,212.01761375,230.800417695081
3,219.13923515,232.60297146425
4,210.33776185,216.590571024618
5,210.8125602,246.146156831664
6,214.6055566,218.004655641725
7,251.28920205,254.270795118272
8,269.33177575,278.421677060018
9,311.99657025,282.677815397771
10,273.9964681,316.944115868744
11,364.31139655,346.684210289147
12,249.73011845,267.926979647006
13,307.66747225,362.713993686577
14,426.91848865,381.998652794963
15,361.9383125,379.550349224106
16,507.17884405,440.780372856218
17,471.19087915,417.576204464592
18,501.68037425,438.987251699537
19,320.1588287,330.872328022115
20,371.5635129,358.903110793603
21,360.18839035,345.945767269259
22,411.55258665,493.046595807329
23,622.6042243,501.462273016067
24,582.3112199,515.243335777652
