i,Value,Prediction
1,55.5,80.361875
2,67,80.5546083333332
3,84.5,92.5510166666666
4,64,76.4435583333334
5,83,75.223
6,63,82.4784416666666
7,147,106.803508333333
8,147.5,131.492816666667
9,87.5,103.610566666667
10,104.5,130.336141666667
11,138.5,138.194525
12,124.5,127.816266666667
13,141,130.230608333333
14,129.5,137.28305
15,122,144.683925
16,235.5,154.90125
17,149,153.627833333333
18,207,158.291208333333
19,107,100.35375
20,113,122.245733333333
21,129.5,121.296166666667
22,151,158.024975
23,135.5,180.581791666667
24,215,181.076058333333
