i,Value,Prediction
1,171.01379195,220.810815047841
2,225.38769335,214.585060241858
3,222.9521356,204.083716731528
4,180.177797,216.009564280671
5,209.22163855,213.243236110579
6,183.7941253,224.321252190982
7,242.66981645,233.162918114134
8,257.64818595,271.575730215316
9,308.3011312,316.148669258103
10,269.48184735,314.465550126535
11,365.0340714,368.533031734064
12,241.56953575,273.860127902181
13,296.60373475,405.653066595745
14,415.26463635,397.916158977129
15,358.26098255,419.977475091395
16,507.6761799,396.98496280463
17,444.29636695,457.128326542256
18,486.79662765,369.75656168944
19,296.72738265,311.787122557799
20,321.78207545,335.454172005539
21,350.7488767,326.670534459145
22,469.90101215,576.510045452756
23,604.5043702,566.78878850719
24,831.9651071,518.242746946825
