i,Value,Prediction
1,979.3272884,645.658332915529
2,831.12187305,829.86784294948
3,566.973464775,743.662659960272
4,1048.90411,794.77554002608
5,887.1876692,853.094814289546
6,910.019289,761.572700376159
7,155.69031505,236.583032035469
8,192.82317385,251.144001385925
9,211.53139255,221.570167471493
10,228.74817425,226.706272616342
11,201.57154365,224.650509176678
12,227.3418283,275.245135471762
13,274.2358404,240.485671017601
14,246.84332405,301.15994126034
15,313.0830552,274.634207156819
16,281.3703983,337.048274579666
17,346.4744813,427.721671210288
18,416.38861725,294.890000466691
19,341.891337575,463.982097345209
20,417.13926755,416.340501641101
21,356.68331545,452.826649122576
22,500.05777015,502.069837630484
23,479.2663375,407.862869447451
24,467.8570987,382.994117314803
25,310.94932515,327.243148541547
26,350.5640081,384.180458429635
27,347.5664017,438.608412468212
28,516.784612,570.775104908455
29,748.13184555,720.14400720682
30,618.60563295,735.519802209876
