i,Value,Prediction
1,0.498726214,0.499170651440346
2,0.496080327,0.498775647936226
3,0.505544918,0.501741301988818
4,0.4948746845,0.506247600207663
5,0.518707054,0.509395387272593
6,0.5555142585,0.495369299473808
7,0.4492939845,0.461773402107717
8,0.4673182,0.461064658848229
9,0.447636553,0.453340562172642
10,0.4411519695,0.430377166251369
11,0.393939487,0.410790773084094
12,0.423731601,0.411473222879005
13,0.398642147,0.387177298482016
14,0.381720216,0.391871146718013
15,0.384528538,0.386833854380833
16,0.487634257,0.484924976650938
17,0.48183292,0.480447174481143
18,0.49338030525,0.484766170350926
19,0.3868057015,0.415942034477208
20,0.443143572,0.422644876108875
21,0.391259287,0.42482109992125
22,0.389297892,0.391129392716508
23,0.369228327,0.383348888966499
24,0.3670014855,0.385410539266047
