i,Value,Prediction
1,0.2868006395,0.30781851881305
2,0.2991507265,0.302093870893933
3,0.301958151,0.306467950800766
4,0.31117145,0.305690574586217
5,0.3054560395,0.30479045224825
6,0.3039263925,0.305225689281533
7,0.4176999425,0.424270715004684
8,0.416420984,0.4135239833983
9,0.4240918765,0.42059795159805
10,0.414510399,0.427154788550401
11,0.4361992185,0.420650569120084
12,0.467404503,0.412652472749183
13,0.376394443,0.39915587704645
14,0.39093433,0.389947175197433
15,0.373408643,0.38259026811125
16,0.3662745055,0.348996784511533
17,0.325146657,0.334219364137383
18,0.3511061335,0.344912844865533
19,0.3305909575,0.317358557978633
20,0.3159078075,0.320361096964516
21,0.3210521345,0.319504355105716
22,0.403390478,0.390650258814333
23,0.398698491,0.386411813526583
24,0.407660311,0.390049849545933
25,0.3194493935,0.36280847673725
26,0.3692422295,0.326924384140716
27,0.322598273,0.367836521578683
28,0.32304064,0.320017999659383
29,0.30674678,0.310079685028016
30,0.3038737865,0.310762360564733
