i,Value,Prediction
1,158.63994985,160.445781838975
2,159.418143,160.13724623056
3,160.12930645,160.539847820035
4,160.48290455,160.233563522615
5,160.17791635,159.982012649787
6,160.01396785,162.177482729217
7,169.9948794,170.353709862092
8,169.78733255,169.36061905796
9,170.53348905,170.229114273847
10,169.79751025,170.536413401779
11,171.42816025,170.345497369989
12,173.95646965,169.400045493388
13,166.5746296,168.662012574863
14,167.80512895,167.938594553098
15,166.46871995,167.1434202313
16,165.8711088,165.560688055556
17,162.44455685,164.053927023587
18,164.67966635,164.08004553506
19,162.7702637,161.410864163497
20,161.66769915,162.027506431015
21,161.98881575,161.736029489415
22,169.05149535,166.403718758995
23,168.72394735,166.651077438735
24,167.949876,167.78476756456
25,161.9397998,166.794889517008
26,165.98969595,162.289602009812
27,162.28062825,164.779836499523
28,162.0046085,161.336017030163
29,160.4994735,160.597712627677
30,160.060806,160.719490146718
