i,Value,Prediction
1,154.49952745,156.108373823815
2,155.0494735,155.646141421558
3,155.7494047,156.430620891903
4,156.74577535,156.306088656707
5,155.83702515,155.853000774364
6,155.8339175,156.121092760814
7,166.0622025,166.320725108358
8,165.7502734,165.378196319762
9,166.54793005,166.420615541373
10,165.74162815,166.895155698601
11,167.4221924,166.175630354657
12,169.7454532,165.749203693131
13,162.38599525,164.345620440573
14,163.81367795,163.526662287268
15,162.31719935,163.009966647608
16,161.9499879,161.135740375648
17,158.26716515,159.254010706483
18,160.63518755,160.748557749212
19,158.3995516,157.403157937262
20,157.1617876,157.727926953453
21,157.28434745,157.474601760458
22,165.400211,162.824627778316
23,165.0541673,163.934271124291
24,165.853116475,164.346263088745
25,157.60082485,160.773658101405
26,161.78502725,158.228089462463
27,157.9805183,161.24799859725
28,157.6748568,157.629697258651
29,155.96170595,156.985758353989
30,155.814812,156.2729062538
