i,Value,Prediction
1,45.876802365,49.0357538597325
2,47.10133263,48.3469940895284
3,48.240370895,49.2110306308462
4,50.46932924,48.6381051001925
5,48.54373722,48.5782154910088
6,48.59527721,49.3220013205765
7,68.353154535,69.2575377668517
8,67.88378575,67.1257007309769
9,69.334624845,68.6678706357397
10,67.67433812,69.8982506237926
11,71.28780508,68.661069276783
12,76.6711168,67.1373797133948
13,60.74430447,66.1673243067054
14,63.58294181,64.1485960117063
15,60.53842784,62.5549330872847
16,59.719471855,59.3174188213064
17,52.440918155,55.0818931936735
18,57.07368008,58.2101610572192
19,53.014871625,50.7695663112694
20,50.40839458,51.8060841807151
21,50.67366824,51.1566851961609
22,66.89439447,64.5733494537286
23,66.01608471,62.8163169631349
24,67.7838656775,63.7979803739036
25,51.26309761,59.1595529293228
26,59.81416539,52.7947545331511
27,51.98751216,58.4700450618959
28,51.624706535,52.303108490472
29,48.45020212,50.1513152070574
30,48.30446674,48.8628133596261
