i,Value,Prediction
1,0.6152574855,0.630837717476299
2,0.6193336175,0.6218781868287
3,0.6237777805,0.632094339233
4,0.6132574925,0.6231693605158
5,0.625109228,0.619076693517433
6,0.613549146,0.635311522712916
7,0.6630185575,0.66873677132635
8,0.653856549,0.662405990158518
9,0.6544925615,0.662643698457684
10,0.6737408475,0.667479764515784
11,0.67115749,0.666624351863367
12,0.670616961,0.66775945489235
13,0.661530577,0.664896703968666
14,0.6643359385,0.663942527930733
15,0.6670791925,0.6623566238384
16,0.65824587,0.66008285040675
17,0.665656908,0.653381300814517
18,0.6642155335,0.660144077075683
19,0.6495634605,0.650276894882733
20,0.6601061085,0.656501512922384
21,0.654182171,0.65330863267
22,0.6736639805,0.65729444696725
23,0.677362331,0.668470497393284
24,0.674734691,0.665260102859883
25,0.659585902,0.656904495336216
26,0.660521511,0.65343885273435
27,0.655334763,0.663824796239101
28,0.646670965,0.643469380142365
29,0.639183533,0.62791213473955
30,0.62227954,0.630654723400215
