i,Value,Prediction
1,0.549303853,0.5528764596085
2,0.5594879275,0.556422688280267
3,0.5551334115,0.56140113236605
4,0.5720031855,0.5693717471734
5,0.587374948,0.5788345775539
6,0.582265635,0.565945008112967
7,0.59045029,0.600581779165516
8,0.5967138665,0.597424141833201
9,0.5894619165,0.604786109894117
10,0.606715943,0.612465217203268
11,0.6144111395,0.606401020919217
12,0.6270901565,0.603387259811434
13,0.5845937325,0.592051368449083
14,0.5935282095,0.593220761991367
15,0.5929160495,0.579279850999599
16,0.570023453,0.576631054179667
17,0.552470511,0.563298645738483
18,0.5726334405,0.564112277129616
19,0.5083946235,0.531543200832865
20,0.5410835115,0.534907703869483
21,0.5038812835,0.535263689728701
22,0.6211272505,0.607883982514817
23,0.615158201,0.601216932814017
24,0.6273139525,0.59825653262845
25,0.5476092465,0.5634292725066
26,0.5425219625,0.547801026435183
27,0.5435738445,0.56458776676355
28,0.5654296915,0.5653220098337
29,0.5564591185,0.56276038864725
30,0.554202913,0.559770934557983
