i,Value,Prediction
1,0.2841886325,0.269125684130517
2,0.2698853565,0.279263661521967
3,0.271605089,0.26487823136285
4,0.318758516,0.275280491238817
5,0.276004896,0.283499232453284
6,0.285756165,0.288608657226134
7,0.2891243565,0.2767430129865
8,0.283025695,0.2800065087033
9,0.2781209565,0.283775522655267
10,0.2897491445,0.276094983669
11,0.2827185,0.282517595921417
12,0.284399593,0.2805015087008
13,0.2655910575,0.27622437411535
14,0.2737735055,0.270657925481667
15,0.2661204485,0.27012012386145
16,0.25122373,0.268381179002233
17,0.24844197,0.257027690928284
18,0.2535686635,0.254914377906417
19,0.248768046,0.247320715847551
20,0.245329264,0.249624663124584
21,0.238113858,0.252934218234433
22,0.274369354,0.275728835722367
23,0.2697356025,0.273537521736934
24,0.2630444655,0.2741830837747
25,0.258998561,0.26932792659275
26,0.2600180585,0.2628732671614
27,0.260436965,0.262659046785483
28,0.258938004,0.270524060691317
29,0.2588993435,0.275723170152584
30,0.281434902,0.272583948618683
