i,Value,Prediction
1,110.35913075,110.88782977629
2,110.4716886,110.643693824788
3,110.8016803,110.417970231915
4,108.42651205,110.228147011593
5,109.56174525,109.675232479758
6,109.3340677,110.248678704858
7,109.19757095,109.178289016388
8,109.2195349,109.51961393668
9,109.8082953,109.084554392177
10,108.8244385,109.080977695642
11,108.72393855,109.242738050292
12,108.56826915,109.37891313786
13,110.081872,109.705229044582
14,109.44427325,109.726064741138
15,109.8751662,109.857375697822
16,110.81010845,110.473493275558
17,111.14334875,110.982102356854
18,110.86189875,110.686606645607
19,112.5895242,111.267266830757
20,111.56721275,111.170189169372
21,111.49520565,111.787022659608
22,108.9828148,109.131245769452
23,109.31319305,109.327176212707
24,109.2840351,109.396736663243
25,111.85818245,110.479591964943
26,111.13164755,111.340027875582
27,111.40915805,110.875629079525
28,111.2445179,110.262475922055
29,111.1394279,110.287421940433
30,110.4142786,111.0181162902
