i,Value,Prediction
1,147.58518725,146.73483261821
2,147.06744805,147.278102395732
3,147.02989875,147.428129682248
4,150.16594355,147.492385009901
5,148.16976685,148.475357679312
6,148.5499036,147.781997447908
7,150.24524615,150.055811665888
8,149.9904269,149.488394121133
9,148.5598,150.075178105287
10,150.8686805,150.266510723664
11,150.5980006,149.97668439775
12,151.18522195,149.701773863257
13,148.35114055,148.685534832972
14,149.17565225,148.991269263812
15,148.6433852,148.486293555773
16,146.7619519,147.459678753957
17,145.917875,146.753561465662
18,147.14143345,146.987178162948
19,144.57747305,145.405279858448
20,145.3076024,145.688775588307
21,143.84606745,145.484194715265
22,150.1708479,149.74055111505
23,149.65291535,149.10241788187
24,149.50388125,149.150174313017
25,145.44460975,147.519020892517
26,145.42148755,146.089012783148
27,146.42042265,146.676639945866
28,146.80773305,147.604364848128
29,146.6387839,147.829474731648
30,147.6762135,147.062727427452
