i,Value,Prediction
1,0.1182703355,0.112074622444766
2,0.1143979825,0.112131336061958
3,0.1100173425,0.109269536426883
4,0.113989388,0.110632332406566
5,0.1092056455,0.1073659531253
6,0.106356405,0.108621575664292
7,0.110547493,0.109396422455775
8,0.1116721615,0.10850534529825
9,0.108837532,0.110260512118816
10,0.1087106545,0.109997949883883
11,0.1120075765,0.112987587380475
12,0.111961415,0.113414532477708
13,0.122299928,0.11899958428285
14,0.11350223,0.116140387929108
15,0.117628731,0.121039359230216
16,0.1045557825,0.107276803484533
17,0.1042014595,0.108802581149217
18,0.0989369245,0.11015891171965
19,0.1099791735,0.112444488586383
20,0.126887402,0.119141875751817
21,0.1195443845,0.113202544646483
22,0.115102848,0.117716415087142
23,0.1162289065,0.119346603769116
24,0.1288617365,0.115935269319025
