i,Value,Prediction
1,0.284184599,0.26811352036015
2,0.2698662325,0.275468033898983
3,0.271597701,0.275982932250517
4,0.318758032,0.275389916165067
5,0.276004132,0.295058310694418
6,0.285741666,0.282213806639667
7,0.2891231935,0.2793681408562
8,0.2830232355,0.276350115044517
9,0.2781209155,0.281041130288967
10,0.2897489185,0.28016051199115
11,0.282718448,0.280555378613017
12,0.2843995835,0.28087076491385
13,0.2655904055,0.267312880762183
14,0.2737733595,0.271209355467
15,0.266120277,0.268644326520333
16,0.251193564,0.262358692490017
17,0.2484401,0.252071078216517
18,0.2535660295,0.254054704800833
19,0.248762579,0.24822369116885
20,0.2453287775,0.252424653357883
21,0.238109733,0.25148194061245
22,0.274369176,0.278506867988484
23,0.269735463,0.276616491217567
24,0.2630444285,0.268831991232866
25,0.2589885805,0.268503006723017
26,0.2599986345,0.262428419586483
27,0.2604282785,0.264205140666284
28,0.2589371715,0.273750880483567
29,0.2588985155,0.27973400211755
30,0.2814339895,0.26844833115385
