i,Treatment,Prediction
H1d15_WW_rep1,WW,D
H1d15_WW_rep2,WW,WW
H1d15_WW_rep3,WW,D
H2d17_D_rep1,D,WW
H2d17_D_rep2,D,WW
H2d17_D_rep3,D,WW
H3d20_D_rep1,D,D
H3d20_D_rep2,D,D
H3d20_D_rep3,D,WW
H4d22_D_rep1,D,D
H4d22_D_rep2,D,D
H4d22_D_rep3,D,D
H4d22_WW_rep1,WW,D
H4d22_WW_rep2,WW,D
H4d22_WW_rep3,WW,WW
H5d24_D_rep1,D,D
H5d24_D_rep2,D,D
H5d24_D_rep3,D,D
H6d27_D_rep1,D,D
H6d27_D_rep2,D,D
H6d27_D_rep3,D,D
H7d29_D_rep1,D,D
H7d29_D_rep2,D,D
H7d29_D_rep3,D,D
H7d29_WW_rep1,WW,WW
H7d29_WW_rep2,WW,WW
H7d29_WW_rep3,WW,WW
