"gene","medianImp","trait"
"AT1G03020.1",2.48578395676658,"top.geometry.fluo.area..px.2."
"AT1G03090.2",2.46630469986026,"top.geometry.fluo.area..px.2."
"AT1G03940.1",2.50898939531396,"top.geometry.fluo.area..px.2."
"AT1G05300.1",2.44579291573134,"top.geometry.fluo.area..px.2."
"AT1G09130.3",2.32489155560361,"top.geometry.fluo.area..px.2."
"AT1G15890.1",2.35846368153018,"top.geometry.fluo.area..px.2."
"AT1G16720.1",2.25988882793836,"top.geometry.fluo.area..px.2."
"AT1G17190.1",2.279963010567,"top.geometry.fluo.area..px.2."
"AT1G23140.1",2.62757609155707,"top.geometry.fluo.area..px.2."
"AT1G24020.1",2.36361179535071,"top.geometry.fluo.area..px.2."
"AT1G24147.1",2.27476859832145,"top.geometry.fluo.area..px.2."
"AT1G30250.1",2.41578467994033,"top.geometry.fluo.area..px.2."
"AT1G35420.2",2.30561145597507,"top.geometry.fluo.area..px.2."
"AT1G36060.1",2.2384933478636,"top.geometry.fluo.area..px.2."
"AT1G49160.2",2.20996816841055,"top.geometry.fluo.area..px.2."
"AT1G52810.1",2.27100882816126,"top.geometry.fluo.area..px.2."
"AT1G53560.1",2.62510067177959,"top.geometry.fluo.area..px.2."
"AT1G56150.1",2.69444752252866,"top.geometry.fluo.area..px.2."
"AT1G56220.3",2.78095380440441,"top.geometry.fluo.area..px.2."
"AT1G58280.2",2.53489350854288,"top.geometry.fluo.area..px.2."
"AT1G63350.1",2.38437289217005,"top.geometry.fluo.area..px.2."
"AT1G63650.1",2.24858106570193,"top.geometry.fluo.area..px.2."
"AT1G63860.1",2.23397952610284,"top.geometry.fluo.area..px.2."
"AT1G64390.1",2.62189834126714,"top.geometry.fluo.area..px.2."
"AT1G65060.1",3.06500266474852,"top.geometry.fluo.area..px.2."
"AT1G66920.2",2.64220485563135,"top.geometry.fluo.area..px.2."
"AT1G69730.1",2.29121397012074,"top.geometry.fluo.area..px.2."
"AT1G70210.1",2.24296054788754,"top.geometry.fluo.area..px.2."
"AT1G70530.1",2.66090343352264,"top.geometry.fluo.area..px.2."
"AT1G70550.1",2.27470077270415,"top.geometry.fluo.area..px.2."
"AT1G70660.1",2.3097418557989,"top.geometry.fluo.area..px.2."
"AT1G72150.1",2.43502011466625,"top.geometry.fluo.area..px.2."
"AT1G72160.1",2.33606892006371,"top.geometry.fluo.area..px.2."
"AT1G75130.1",2.31672555872204,"top.geometry.fluo.area..px.2."
"AT1G76730.1",2.36045634839869,"top.geometry.fluo.area..px.2."
"AT1G78270.1",2.22963863056646,"top.geometry.fluo.area..px.2."
"AT1G78620.2",2.29573246462559,"top.geometry.fluo.area..px.2."
"AT1G78930.1",2.29291845869458,"top.geometry.fluo.area..px.2."
"AT1G79150.1",2.09254130223822,"top.geometry.fluo.area..px.2."
"AT1G79670.1",2.20026149670432,"top.geometry.fluo.area..px.2."
"AT1G80180.1",2.05990881339077,"top.geometry.fluo.area..px.2."
"AT1G80420.1",2.4153240662701,"top.geometry.fluo.area..px.2."
"AT2G01008.1",2.39244124050362,"top.geometry.fluo.area..px.2."
"AT2G01650.1",2.04341241268508,"top.geometry.fluo.area..px.2."
"AT2G03410.1",2.417043621598,"top.geometry.fluo.area..px.2."
"AT2G05120.1",2.0860774523637,"top.geometry.fluo.area..px.2."
"AT2G17040.1",2.41182347525599,"top.geometry.fluo.area..px.2."
"AT2G20230.1",2.3784062923179,"top.geometry.fluo.area..px.2."
"AT2G20630.2",2.28198586598458,"top.geometry.fluo.area..px.2."
"AT2G20725.1",2.36785311616972,"top.geometry.fluo.area..px.2."
"AT2G22730.1",2.75139041650245,"top.geometry.fluo.area..px.2."
"AT2G23010.2",2.22384861634166,"top.geometry.fluo.area..px.2."
"AT2G23200.1",2.25018469191107,"top.geometry.fluo.area..px.2."
"AT2G25080.1",2.41776388598693,"top.geometry.fluo.area..px.2."
"AT2G25790.1",2.29602504001445,"top.geometry.fluo.area..px.2."
"AT2G30950.1",2.54764224360126,"top.geometry.fluo.area..px.2."
"AT2G31020.1",2.41717075700637,"top.geometry.fluo.area..px.2."
"AT2G31865.2",2.37344250993666,"top.geometry.fluo.area..px.2."
"AT2G33150.1",2.4098509239706,"top.geometry.fluo.area..px.2."
"AT2G33470.1",2.02535970333851,"top.geometry.fluo.area..px.2."
"AT2G33530.1",2.46220190463606,"top.geometry.fluo.area..px.2."
"AT2G33550.1",2.36081858143485,"top.geometry.fluo.area..px.2."
"AT2G35660.1",2.49544365585585,"top.geometry.fluo.area..px.2."
"AT2G37130.1",2.09744114373854,"top.geometry.fluo.area..px.2."
"AT2G37260.1",2.6851012224336,"top.geometry.fluo.area..px.2."
"AT2G38170.3",2.55457015153903,"top.geometry.fluo.area..px.2."
"AT2G38180.1",2.27916442341469,"top.geometry.fluo.area..px.2."
"AT2G40030.1",1.98626136906967,"top.geometry.fluo.area..px.2."
"AT2G40300.1",2.44830409722008,"top.geometry.fluo.area..px.2."
"AT2G42920.1",2.09094769661359,"top.geometry.fluo.area..px.2."
"AT2G43060.1",2.47223228334773,"top.geometry.fluo.area..px.2."
"AT2G43800.1",2.2916649962112,"top.geometry.fluo.area..px.2."
"AT2G45980.1",2.13888672686319,"top.geometry.fluo.area..px.2."
"AT2G46590.2",2.44293303222255,"top.geometry.fluo.area..px.2."
"AT3G01690.1",2.50056656713699,"top.geometry.fluo.area..px.2."
"AT3G01920.1",2.15557574629716,"top.geometry.fluo.area..px.2."
"AT3G04290.1",2.26950664534384,"top.geometry.fluo.area..px.2."
"AT3G05200.1",2.42080560543983,"top.geometry.fluo.area..px.2."
"AT3G09020.1",2.20295990629932,"top.geometry.fluo.area..px.2."
"AT3G14340.1",2.71362949493694,"top.geometry.fluo.area..px.2."
"AT3G16770.1",2.33085870670789,"top.geometry.fluo.area..px.2."
"AT3G17120.1",2.01499181595181,"top.geometry.fluo.area..px.2."
"AT3G17650.1",2.24357242577919,"top.geometry.fluo.area..px.2."
"AT3G21080.1",2.36332833597059,"top.geometry.fluo.area..px.2."
"AT3G21560.1",2.7392175938067,"top.geometry.fluo.area..px.2."
"AT3G22460.1",2.35993576743117,"top.geometry.fluo.area..px.2."
"AT3G25020.1",2.37426592186468,"top.geometry.fluo.area..px.2."
"AT3G26170.1",2.27270330025663,"top.geometry.fluo.area..px.2."
"AT3G26210.1",2.35471146768993,"top.geometry.fluo.area..px.2."
"AT3G26220.1",2.24444899907981,"top.geometry.fluo.area..px.2."
"AT3G26440.1",2.48504465342132,"top.geometry.fluo.area..px.2."
"AT3G26690.1",2.28861509023886,"top.geometry.fluo.area..px.2."
"AT3G29030.1",2.09583521991858,"top.geometry.fluo.area..px.2."
"AT3G29035.1",2.36191738414359,"top.geometry.fluo.area..px.2."
"AT3G48170.1",2.25883831426544,"top.geometry.fluo.area..px.2."
"AT3G49410.1",2.34511544425955,"top.geometry.fluo.area..px.2."
"AT3G49780.1",2.19282898962067,"top.geometry.fluo.area..px.2."
"AT3G49900.2",2.18724586934289,"top.geometry.fluo.area..px.2."
"AT3G50950.2",2.26659706777239,"top.geometry.fluo.area..px.2."
"AT3G51840.1",2.23077655217191,"top.geometry.fluo.area..px.2."
"AT3G52430.1",2.17366611303187,"top.geometry.fluo.area..px.2."
"AT3G55110.1",2.06199568461834,"top.geometry.fluo.area..px.2."
"AT3G55830.1",2.23642164940658,"top.geometry.fluo.area..px.2."
"AT3G61080.1",2.21209146540565,"top.geometry.fluo.area..px.2."
"AT3G61540.1",2.44663719712347,"top.geometry.fluo.area..px.2."
"AT3G63090.1",2.15732979343294,"top.geometry.fluo.area..px.2."
